Index,Date,Fixing
CHF-LIBOR-12M,08-May-2023,-0.005532
CHF-LIBOR-12M,08-nov-18,-0.005318
CHF-LIBOR-12M,08-nov-19,-0.005298
CHF-LIBOR-12M,08-nov-21,-0.005718
CHF-LIBOR-12M,08-nov-22,-0.005532
CHF-LIBOR-12M,08-nov-23,-0.005532
CHF-LIBOR-12M,08-Oct-2019,-0.006308
CHF-LIBOR-12M,08-Oct-2020,-0.005998
CHF-LIBOR-12M,08-Oct-2021,-0.005828
CHF-LIBOR-12M,08-Sep-2020,-0.005564
CHF-LIBOR-12M,08-Sep-2021,-0.00593
CHF-LIBOR-12M,08-Sep-2022,-0.005532
CHF-LIBOR-12M,08-Sep-2023,-0.005532
CHF-LIBOR-12M,09-apr-19,-0.005004
CHF-LIBOR-12M,09-apr-20,-0.004104
CHF-LIBOR-12M,09-apr-21,-0.005926
CHF-LIBOR-12M,09-apr-24,-0.005532
CHF-LIBOR-12M,09-Aug-2019,-0.006674
CHF-LIBOR-12M,09-Aug-2021,-0.005988
CHF-LIBOR-12M,09-Aug-2022,-0.005532
CHF-LIBOR-12M,09-Aug-2023,-0.005532
CHF-LIBOR-12M,09-Dec-2019,-0.005244
CHF-LIBOR-12M,09-Dec-2020,-0.006234
CHF-LIBOR-12M,09-Dec-2021,-0.00582
CHF-LIBOR-12M,09-Dec-2022,-0.005532
CHF-LIBOR-12M,09-feb-21,-0.006078
CHF-LIBOR-12M,09-feb-22,-0.005532
CHF-LIBOR-12M,09-feb-23,-0.005532
CHF-LIBOR-12M,09-feb-24,-0.005532
CHF-LIBOR-12M,09-Jan-2019,-0.004906
CHF-LIBOR-12M,09-Jan-2020,-0.004888
CHF-LIBOR-12M,09-Jan-2023,-0.005532
CHF-LIBOR-12M,09-Jan-2024,-0.005532
CHF-LIBOR-12M,09-Jul-2019,-0.005892
CHF-LIBOR-12M,09-Jul-2020,-0.005068
CHF-LIBOR-12M,09-Jul-2021,-0.00595
CHF-LIBOR-12M,09-Jun-2020,-0.004624
CHF-LIBOR-12M,09-Jun-2021,-0.005932
CHF-LIBOR-12M,09-Jun-2022,-0.005532
